clave_articulo,descripcion,inventarios,tipo_documentos,linea,serie,unidad,unidad_empaque,cantidad_almacen,rack,control_almacen,concepto,tipo_documento,documento,clave_cliente_proveedor,clave_vendedor,cantidad,precio,costo,tiempo_surtido,stock_min,stock_max,tipo_costeo,fecha_ultima_compra,pendiente_recibir,fecha_ultima_venta,pendientes_surtir,existencias,costo_promedio,ultimo_costo,tipo_elemento,unidad_salida,factor_entre_unidades,apartados,lote,pedimento,peso,volumen,clave_esuqema,cantidad_ventas_anuales,monto_ventas_anuales,cantidad_compras_anuales,monto_compras_anuales,cuenta_contable,estatus,manejo_ieps,tax_num,cuota_ieps,forma_ieps,clave_sat,clave_unidad,catalogo,id_catalogo,titulo_ml,color,medidas,volts,a,w,marca
ROTO1/2NX2D,TALADRO ROTO-1/2NX2 DAÑADO,1,M,HTA,S,PZ,,1,12D,1-12D,,,,NMQ050902,,,,,7,0,2,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
S-12410NAT,BASES CUADRADAS SUJETA CABLE,1,M,HTA,N,BO,,1,1D,1-1D,,,,NMQ050902,,,,,7,0,50,,,,,,,308,308,P,BO,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
S-14,FOCO 10W BASE E26 TIPO BOMBILL,1,M,ACO,N,PZ,,1,10C,1-10C,,,,SVE000216,,,,,3,2,30,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,CLARO,,120,,10,OSRAM
S52711,CLAVIJA 32A 440V 3+N ATERIZADO,1,M,REF,N,PZ,,1,10C,1-10C,,,,DUAG60100,,,,,7,1,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJO,,440,32,,STECK
SAE25W-60-HK,ACEITE GASOLINA SAE 25W-60 HK,1,M,CON,N,LT,,1,5D,1-5D,,,,SVE000216,,,,,3,0,60,,2021/4/28,,,,,,,P,LT,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,MOVIL
SB175B10,CONECTOR SB175 AZUL 1/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,10,,,,,,,245,245,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB175B,CONECTOR SB175 AZUL,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,10,,,,,,,170,170,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB175BU,CONECTOR SB175 AZUL USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,100,100,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB175G10,CONECTOR SB175 GRIS 1/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,10,,,,,,,245,245,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB175G,CONECTOR SB175 GRIS,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,170,170,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB175GU,CONECTOR SB175 GRIS USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,10,,,,,,,100,100,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB175R10,CONECTOR SB175 ROJO 1/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,10,,,,,,,245,245,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB175R,CONECTOR SB175 ROJO,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,170,170,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB175RU,CONECTOR SB175 ROJO USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,100,100,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,ROJA,,,,,TOTAL SOURCE
SB175Y,CONECTOR SB175 AMARILLO,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,20,,,,,,,170,170,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB175Y10,CONECTOR SB175 AMARILLO 1/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,1,10,,,,,,,245,245,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB175YU,CONECTOR SB175 AMARILLO USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,100,100,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AMARILLA,,,,,TOTAL SOURCE
SB350B,CONECTOR SB350 AZUL,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,270,270,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB350B20,CONECTOR SB350 AZUL 2/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,4,100,,,,,,,350,350,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB350B40,CONECTOR SB350 AZUL 4/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,2,100,,,,,,,500,500,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB350BU,CONECTOR SB350 AZUL USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,150,150,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,AZUL,,,,,TOTAL SOURCE
SB350G,CONECTOR SB350 GRIS,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,0,30,,,,,,,270,270,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB350G20,CONECTOR SB350 GRIS 2/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,4,100,,,,,,,350,350,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB350G40,CONECTOR SB350 GRIS 4/0,1,M,REF,N,PZ,,6,1C,6-1C,,,,DUAG60100,,,,,3,2,100,,,,,,,500,500,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
SB350GU,CONECTOR SB350 GRIS USADO,1,M,REF,N,PZ,,1,1D,1-1D,,,,DUAG60100,,,,,3,0,100,,,,,,,150,150,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,GRIS,,,,,TOTAL SOURCE
